ID,p,alpha_rho,beta_rho,seed,num_trees,iter,thin,warmup,sigma2_beta,sigma2_beta_update_freq,beta_acc_prob,n_min,alpha_sigma,beta_sigma,moves,move_probs
137,10,0.3,3,35,5,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
138,10,0.3,3,35,10,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
139,10,0.3,3,35,25,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
140,10,0.3,3,35,50,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
141,10,0.3,3,36,5,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
142,10,0.3,3,36,10,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
143,10,0.3,3,36,25,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
144,10,0.3,3,36,50,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
145,10,0.3,3,37,5,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
146,10,0.3,3,37,10,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
147,10,0.3,3,37,25,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
148,10,0.3,3,37,50,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
149,10,0.3,3,38,5,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
150,10,0.3,3,38,10,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
151,10,0.3,3,38,25,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
152,10,0.3,3,38,50,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
153,10,0.3,3,39,5,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
154,10,0.3,3,39,10,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
155,10,0.3,3,39,25,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
156,10,0.3,3,39,50,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
157,10,0.3,3,40,5,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
158,10,0.3,3,40,10,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
159,10,0.3,3,40,25,6000,5,3000,1,50,0.35,5,1,1,"c('grow','prune','change')","c(0.3,0.3,0.4)"
