p,corstr,subset,alpha_rho,beta_rho,model,num_trees,bias,rpehe,coverage,width
10,exchangeable,A,0.95,2,CL-BART-avg,2,"0.00 (-0.06, 0.07)","0.02 (0.00, 0.07)","0.91 (0.00, 1.00)","0.12 (0.11, 0.13)"
10,exchangeable,A,0.95,2,CL-BART-avg,5,"0.00 (-0.06, 0.07)","0.02 (0.00, 0.07)","0.92 (0.00, 1.00)","0.12 (0.11, 0.13)"
10,exchangeable,A,0.95,2,CL-BART-avg,10,"0.00 (-0.06, 0.07)","0.02 (0.00, 0.07)","0.94 (0.00, 1.00)","0.12 (0.11, 0.13)"
10,exchangeable,B,0.3,3,Oracle CLR,NA,"0.00 (-0.09, 0.08)","0.03 (0.00, 0.10)","0.96 (0.00, 1.00)","0.19 (0.18, 0.21)"
10,exchangeable,B,0.3,3,CL-BART,1,"-0.01 (-0.18, 0.09)","0.05 (0.00, 0.24)","0.89 (0.00, 1.00)","0.21 (0.17, 0.31)"
10,exchangeable,B,0.3,3,CL-BART,2,"-0.01 (-0.14, 0.08)","0.05 (0.00, 0.17)","0.89 (0.00, 1.00)","0.20 (0.16, 0.29)"
10,exchangeable,B,0.3,3,CL-BART,5,"-0.01 (-0.13, 0.08)","0.05 (0.01, 0.15)","0.91 (0.00, 1.00)","0.21 (0.15, 0.31)"
10,exchangeable,B,0.3,3,CL-BART,10,"-0.02 (-0.14, 0.08)","0.06 (0.01, 0.14)","0.86 (0.00, 1.00)","0.22 (0.16, 0.30)"
10,exchangeable,B,0.3,3,CL-BART-avg,1,"-0.01 (-0.18, 0.09)","0.04 (0.00, 0.21)","0.89 (0.00, 1.00)","0.19 (0.14, 0.28)"
10,exchangeable,B,0.3,3,CL-BART-avg,2,"-0.01 (-0.14, 0.08)","0.04 (0.00, 0.14)","0.89 (0.00, 1.00)","0.19 (0.14, 0.27)"
10,exchangeable,B,0.3,3,CL-BART-avg,5,"-0.01 (-0.13, 0.08)","0.04 (0.00, 0.14)","0.90 (0.00, 1.00)","0.19 (0.15, 0.25)"
10,exchangeable,B,0.3,3,CL-BART-avg,10,"-0.02 (-0.14, 0.08)","0.05 (0.00, 0.14)","0.86 (0.00, 1.00)","0.19 (0.14, 0.25)"
10,exchangeable,B,0.95,2,Oracle CLR,NA,"0.00 (-0.09, 0.08)","0.03 (0.00, 0.10)","0.96 (0.00, 1.00)","0.19 (0.18, 0.21)"
10,exchangeable,B,0.95,2,CL-BART,1,"0.00 (-0.12, 0.09)","0.06 (0.00, 0.23)","0.90 (0.25, 1.00)","0.24 (0.18, 0.38)"
10,exchangeable,B,0.95,2,CL-BART,2,"-0.01 (-0.09, 0.08)","0.06 (0.00, 0.15)","0.92 (0.31, 1.00)","0.22 (0.17, 0.31)"
10,exchangeable,B,0.95,2,CL-BART,5,"-0.01 (-0.09, 0.08)","0.07 (0.01, 0.18)","0.89 (0.19, 1.00)","0.25 (0.19, 0.36)"
10,exchangeable,B,0.95,2,CL-BART,10,"-0.01 (-0.09, 0.07)","0.08 (0.03, 0.16)","0.93 (0.54, 1.00)","0.32 (0.24, 0.44)"
10,exchangeable,B,0.95,2,CL-BART-avg,1,"0.00 (-0.12, 0.09)","0.04 (0.00, 0.14)","0.91 (0.00, 1.00)","0.19 (0.13, 0.24)"
